date,year,mo,meanTemp
1875/10,1875,10,-0.3644545454545455
1875/11,1875,11,-0.5039999999999999
1875/12,1875,12,-0.5073636363636363
1876/01,1876,01,-0.3155454545454546
1876/02,1876,02,-0.2812727272727273
1876/03,1876,03,-0.3900909090909091
1876/04,1876,04,-0.29863636363636364
1876/05,1876,05,-0.5371818181818182
1876/06,1876,06,-0.28490909090909095
1876/07,1876,07,-0.13754545454545458
1876/08,1876,08,-0.24927272727272728
1876/09,1876,09,-0.43772727272727274
1876/10,1876,10,-0.3900909090909091
1876/11,1876,11,-0.5862727272727272
1876/12,1876,12,-0.7166363636363636
1877/01,1877,01,-0.3294545454545454
1877/02,1877,02,0.04736363636363636
1877/03,1877,03,-0.28236363636363637
1877/04,1877,04,-0.32245454545454544
1877/05,1877,05,-0.4572727272727271
1877/06,1877,06,-0.09427272727272729
1877/07,1877,07,0.011181818181818176
1877/08,1877,08,0.14545454545454548
1877/09,1877,09,0.026000000000000002
1877/10,1877,10,0.06136363636363637
1877/11,1877,11,0.09727272727272726
1877/12,1877,12,0.17163636363636364
1878/01,1878,01,0.17245454545454544
1878/02,1878,02,0.40199999999999997
1878/03,1878,03,0.3407272727272727
1878/04,1878,04,0.31809090909090915
1878/05,1878,05,-0.08718181818181817
1878/06,1878,06,0.017727272727272727
1878/07,1878,07,-0.05118181818181819
1878/08,1878,08,-0.02472727272727272
1878/09,1878,09,0.014909090909090912
1878/10,1878,10,-0.12218181818181817
1878/11,1878,11,-0.20154545454545456
1878/12,1878,12,-0.3564545454545454
1879/01,1879,01,-0.19609090909090907
1879/02,1879,02,-0.1506363636363636
1879/03,1879,03,-0.09672727272727272
1879/04,1879,04,-0.21363636363636365
1879/05,1879,05,-0.21454545454545457
1879/06,1879,06,-0.27190909090909093
1879/07,1879,07,-0.23218181818181816
1879/08,1879,08,-0.1667272727272727
1879/09,1879,09,-0.21672727272727277
1879/10,1879,10,-0.12145454545454547
1879/11,1879,11,-0.3893636363636364
1879/12,1879,12,-0.5156363636363636
1880/01,1880,01,-0.06672727272727273
1880/02,1880,02,-0.17372727272727273
1880/03,1880,03,-0.10672727272727273
1880/04,1880,04,-0.14927272727272725
1880/05,1880,05,-0.24790909090909088
1880/06,1880,06,-0.30736363636363634
1880/07,1880,07,-0.247
1880/08,1880,08,-0.11790909090909092
1880/09,1880,09,-0.23672727272727273
1880/10,1880,10,-0.3856363636363636
1880/11,1880,11,-0.40745454545454546
1880/12,1880,12,-0.2950909090909091
1881/01,1881,01,-0.35627272727272724
1881/02,1881,02,-0.23572727272727273
1881/03,1881,03,-0.1827272727272727
1881/04,1881,04,-0.13118181818181818
1881/05,1881,05,-0.03272727272727274
1881/06,1881,06,-0.23118181818181818
1881/07,1881,07,-0.14736363636363636
1881/08,1881,08,-0.12218181818181817
1881/09,1881,09,-0.2412727272727273
1881/10,1881,10,-0.27436363636363637
1881/11,1881,11,-0.3332727272727273
1881/12,1881,12,-0.13136363636363635
1882/01,1882,01,0.12390909090909089
1882/02,1882,02,-0.009090909090909089
1882/03,1882,03,-0.052181818181818176
1882/04,1882,04,-0.2826363636363636
1882/05,1882,05,-0.37636363636363634
1882/06,1882,06,-0.3179090909090909
1882/07,1882,07,-0.18700000000000003
1882/08,1882,08,-0.22054545454545457
1882/09,1882,09,-0.15854545454545454
1882/10,1882,10,-0.32981818181818184
1882/11,1882,11,-0.31118181818181817
1882/12,1882,12,-0.4721818181818182
1883/01,1883,01,-0.40254545454545454
1883/02,1883,02,-0.3204545454545455
1883/03,1883,03,-0.3473636363636364
1883/04,1883,04,-0.39718181818181825
1883/05,1883,05,-0.2581818181818182
1883/06,1883,06,-0.12390909090909089
1883/07,1883,07,-0.20072727272727278
1883/08,1883,08,-0.2114545454545455
1883/09,1883,09,-0.28090909090909094
1883/10,1883,10,-0.3785454545454546
1883/11,1883,11,-0.31209090909090903
1883/12,1883,12,-0.3234545454545455
1884/01,1884,01,-0.4047272727272727
1884/02,1884,02,-0.21827272727272728
1884/03,1884,03,-0.46118181818181814
1884/04,1884,04,-0.5267272727272727
1884/05,1884,05,-0.3986363636363636
1884/06,1884,06,-0.41154545454545455
1884/07,1884,07,-0.42545454545454553
1884/08,1884,08,-0.41427272727272724
1884/09,1884,09,-0.3478181818181818
1884/10,1884,10,-0.33272727272727276
1884/11,1884,11,-0.5673636363636364
1884/12,1884,12,-0.4151818181818181
1885/01,1885,01,-0.5050909090909091
1885/02,1885,02,-0.4137272727272727
1885/03,1885,03,-0.48318181818181816
1885/04,1885,04,-0.4696363636363637
1885/05,1885,05,-0.5217272727272727
1885/06,1885,06,-0.48727272727272725
1885/07,1885,07,-0.31681818181818183
1885/08,1885,08,-0.5063636363636363
1885/09,1885,09,-0.33009090909090905
1885/10,1885,10,-0.2415454545454545
1885/11,1885,11,-0.26236363636363635
1885/12,1885,12,-0.15454545454545457
1886/01,1886,01,-0.3991818181818182
1886/02,1886,02,-0.4705454545454545
1886/03,1886,03,-0.4123636363636363
1886/04,1886,04,-0.3386363636363636
1886/05,1886,05,-0.19000000000000003
1886/06,1886,06,-0.3821818181818182
1886/07,1886,07,-0.27990909090909094
1886/08,1886,08,-0.335
1886/09,1886,09,-0.43290909090909085
1886/10,1886,10,-0.36054545454545456
1886/11,1886,11,-0.4239999999999999
1886/12,1886,12,-0.42054545454545456
1887/01,1887,01,-0.5682727272727273
1887/02,1887,02,-0.5574545454545454
1887/03,1887,03,-0.45827272727272733
1887/04,1887,04,-0.4362727272727273
1887/05,1887,05,-0.3571818181818182
1887/06,1887,06,-0.40481818181818174
1887/07,1887,07,-0.2756363636363636
1887/08,1887,08,-0.3650909090909091
1887/09,1887,09,-0.3382727272727273
1887/10,1887,10,-0.4975454545454546
1887/11,1887,11,-0.4047272727272727
1887/12,1887,12,-0.39645454545454545
1888/01,1888,01,-0.5923636363636364
1888/02,1888,02,-0.44281818181818183
1888/03,1888,03,-0.5352727272727273
1888/04,1888,04,-0.23927272727272725
1888/05,1888,05,-0.34845454545454546
1888/06,1888,06,-0.29445454545454547
1888/07,1888,07,-0.3034545454545455
1888/08,1888,08,-0.28063636363636363
1888/09,1888,09,-0.22109090909090912
1888/10,1888,10,-0.09281818181818181
1888/11,1888,11,-0.1964545454545455
1888/12,1888,12,-0.17300000000000001
1889/01,1889,01,-0.06827272727272728
1889/02,1889,02,-0.085
1889/03,1889,03,-0.06509090909090907
1889/04,1889,04,0.009636363636363639
1889/05,1889,05,-0.08299999999999998
1889/06,1889,06,-0.14527272727272728
1889/07,1889,07,-0.19118181818181815
1889/08,1889,08,-0.22245454545454546
1889/09,1889,09,-0.38409090909090904
1889/10,1889,10,-0.2970000000000001
1889/11,1889,11,-0.3977272727272727
1889/12,1889,12,-0.1806363636363636
1890/01,1890,01,-0.3303636363636363
1890/02,1890,02,-0.3696363636363637
1890/03,1890,03,-0.4633636363636364
1890/04,1890,04,-0.32427272727272727
1890/05,1890,05,-0.4206363636363637
1890/06,1890,06,-0.37327272727272726
1890/07,1890,07,-0.4065454545454546
1890/08,1890,08,-0.42118181818181816
1890/09,1890,09,-0.47536363636363627
1890/10,1890,10,-0.49827272727272726
1890/11,1890,11,-0.5568181818181818
1890/12,1890,12,-0.4137272727272727
1891/01,1891,01,-0.5142727272727272
1891/02,1891,02,-0.47590909090909095
1891/03,1891,03,-0.3640909090909091
1891/04,1891,04,-0.3591818181818181
1891/05,1891,05,-0.20354545454545458
1891/06,1891,06,-0.29
1891/07,1891,07,-0.3231818181818182
1891/08,1891,08,-0.3179090909090909
1891/09,1891,09,-0.19699999999999998
1891/10,1891,10,-0.32563636363636356
1891/11,1891,11,-0.5404545454545455
1891/12,1891,12,-0.11818181818181818
1892/01,1892,01,-0.4014545454545455
1892/02,1892,02,-0.11509090909090909
1892/03,1892,03,-0.47100000000000003
1892/04,1892,04,-0.48545454545454536
1892/05,1892,05,-0.4064545454545454
1892/06,1892,06,-0.46054545454545454
1892/07,1892,07,-0.5276363636363637
1892/08,1892,08,-0.44790909090909087
1892/09,1892,09,-0.32954545454545453
1892/10,1892,10,-0.44436363636363635
1892/11,1892,11,-0.6268181818181818
1892/12,1892,12,-0.7969999999999999
1893/01,1893,01,-0.9780909090909091
1893/02,1893,02,-0.7292727272727273
1893/03,1893,03,-0.375
1893/04,1893,04,-0.5686363636363637
1893/05,1893,05,-0.5624545454545454
1893/06,1893,06,-0.4612727272727273
1893/07,1893,07,-0.2784545454545454
1893/08,1893,08,-0.29700000000000004
1893/09,1893,09,-0.43390909090909097
1893/10,1893,10,-0.2767272727272727
1893/11,1893,11,-0.41572727272727267
1893/12,1893,12,-0.34118181818181825
1894/01,1894,01,-0.46827272727272734
1894/02,1894,02,-0.37654545454545457
1894/03,1894,03,-0.38218181818181823
1894/04,1894,04,-0.3901818181818182
1894/05,1894,05,-0.427
1894/06,1894,06,-0.49354545454545456
1894/07,1894,07,-0.31736363636363635
1894/08,1894,08,-0.34454545454545454
1894/09,1894,09,-0.4607272727272727
1894/10,1894,10,-0.44581818181818184
1894/11,1894,11,-0.4219090909090909
1894/12,1894,12,-0.4125454545454545
1895/01,1895,01,-0.5014545454545455
1895/02,1895,02,-0.6805454545454546
1895/03,1895,03,-0.5225454545454545
1895/04,1895,04,-0.40645454545454546
1895/05,1895,05,-0.4183636363636364
1895/06,1895,06,-0.33518181818181814
1895/07,1895,07,-0.3482727272727273
1895/08,1895,08,-0.2644545454545455
1895/09,1895,09,-0.2877272727272727
1895/10,1895,10,-0.33736363636363637
1895/11,1895,11,-0.29700000000000004
1895/12,1895,12,-0.3205454545454546
1896/01,1896,01,-0.22263636363636358
1896/02,1896,02,-0.23154545454545455
1896/03,1896,03,-0.38845454545454544
1896/04,1896,04,-0.3527272727272727
1896/05,1896,05,-0.21054545454545454
1896/06,1896,06,-0.121
1896/07,1896,07,-0.11327272727272729
1896/08,1896,08,-0.06581818181818182
1896/09,1896,09,-0.11263636363636365
1896/10,1896,10,-0.12409090909090911
1896/11,1896,11,-0.2862727272727273
1896/12,1896,12,-0.03718181818181819
1897/01,1897,01,-0.20418181818181821
1897/02,1897,02,-0.12763636363636366
1897/03,1897,03,-0.2781818181818182
1897/04,1897,04,-0.07709090909090908
1897/05,1897,05,-0.03354545454545455
1897/06,1897,06,-0.15663636363636366
1897/07,1897,07,-0.15736363636363637
1897/08,1897,08,-0.15154545454545454
1897/09,1897,09,-0.1378181818181818
1897/10,1897,10,-0.25827272727272726
1897/11,1897,11,-0.4520000000000001
1897/12,1897,12,-0.48027272727272724
1898/01,1898,01,-0.08600000000000001
1898/02,1898,02,-0.3841818181818182
1898/03,1898,03,-0.7498181818181819
1898/04,1898,04,-0.5738181818181819
1898/05,1898,05,-0.47818181818181815
1898/06,1898,06,-0.3221818181818182
1898/07,1898,07,-0.37772727272727274
1898/08,1898,08,-0.30963636363636365
1898/09,1898,09,-0.3354545454545455
1898/10,1898,10,-0.5558181818181818
1898/11,1898,11,-0.44845454545454544
1898/12,1898,12,-0.34863636363636363
1899/01,1899,01,-0.21118181818181817
1899/02,1899,02,-0.4974545454545454
1899/03,1899,03,-0.5462727272727272
1899/04,1899,04,-0.35127272727272724
1899/05,1899,05,-0.31836363636363635
1899/06,1899,06,-0.39190909090909093
1899/07,1899,07,-0.27481818181818185
1899/08,1899,08,-0.1498181818181818
1899/09,1899,09,-0.13718181818181818
1899/10,1899,10,-0.1881818181818182
1899/11,1899,11,0.02681818181818182
1899/12,1899,12,-0.4518181818181819
1900/01,1900,01,-0.26754545454545453
1900/02,1900,02,-0.17581818181818182
1900/03,1900,03,-0.2873636363636364
1900/04,1900,04,-0.2607272727272727
1900/05,1900,05,-0.2759090909090909
1900/06,1900,06,-0.18163636363636362
1900/07,1900,07,-0.19027272727272726
1900/08,1900,08,-0.18727272727272729
1900/09,1900,09,-0.23345454545454547
1900/10,1900,10,-0.05945454545454545
1900/11,1900,11,-0.26209090909090904
1900/12,1900,12,-0.07845454545454544
1901/01,1901,01,-0.17845454545454545
1901/02,1901,02,-0.27572727272727265
1901/03,1901,03,-0.238
1901/04,1901,04,-0.188
1901/05,1901,05,-0.2008181818181818
1901/06,1901,06,-0.14836363636363636
1901/07,1901,07,-0.1881818181818182
1901/08,1901,08,-0.1990909090909091
1901/09,1901,09,-0.34618181818181815
1901/10,1901,10,-0.2985454545454545
1901/11,1901,11,-0.4408181818181818
1901/12,1901,12,-0.4299090909090909
1902/01,1902,01,-0.234
1902/02,1902,02,-0.2629090909090909
1902/03,1902,03,-0.3985454545454546
1902/04,1902,04,-0.4501818181818182
1902/05,1902,05,-0.40454545454545454
1902/06,1902,06,-0.4267272727272728
1902/07,1902,07,-0.3916363636363636
1902/08,1902,08,-0.37054545454545457
1902/09,1902,09,-0.36327272727272725
1902/10,1902,10,-0.478
1902/11,1902,11,-0.5388181818181818
1902/12,1902,12,-0.5289090909090909
1903/01,1903,01,-0.27054545454545453
1903/02,1903,02,-0.18672727272727274
1903/03,1903,03,-0.35827272727272735
1903/04,1903,04,-0.47263636363636363
1903/05,1903,05,-0.4666363636363636
1903/06,1903,06,-0.5400909090909091
1903/07,1903,07,-0.48536363636363633
1903/08,1903,08,-0.5904545454545456
1903/09,1903,09,-0.5202727272727272
1903/10,1903,10,-0.6542727272727272
1903/11,1903,11,-0.6355454545454545
1903/12,1903,12,-0.6051818181818182
1904/01,1904,01,-0.6459999999999999
1904/02,1904,02,-0.5950909090909092
1904/03,1904,03,-0.6619090909090909
1904/04,1904,04,-0.5540000000000002
1904/05,1904,05,-0.5320909090909092
1904/06,1904,06,-0.5259090909090909
1904/07,1904,07,-0.5221818181818182
1904/08,1904,08,-0.48009090909090907
1904/09,1904,09,-0.4801818181818182
1904/10,1904,10,-0.4733636363636364
1904/11,1904,11,-0.38763636363636356
1904/12,1904,12,-0.4088181818181818
1905/01,1905,01,-0.4601818181818183
1905/02,1905,02,-0.7089090909090909
1905/03,1905,03,-0.46345454545454545
1905/04,1905,04,-0.5530909090909092
1905/05,1905,05,-0.3499999999999999
1905/06,1905,06,-0.31609090909090914
1905/07,1905,07,-0.29554545454545456
1905/08,1905,08,-0.30327272727272725
1905/09,1905,09,-0.3140909090909091
1905/10,1905,10,-0.3639090909090909
1905/11,1905,11,-0.21881818181818183
1905/12,1905,12,-0.19954545454545458
1906/01,1906,01,-0.07663636363636361
1906/02,1906,02,-0.2283636363636364
1906/03,1906,03,-0.28445454545454546
1906/04,1906,04,-0.11309090909090908
1906/05,1906,05,-0.33254545454545453
1906/06,1906,06,-0.29
1906/07,1906,07,-0.31445454545454543
1906/08,1906,08,-0.32036363636363635
1906/09,1906,09,-0.3875454545454545
1906/10,1906,10,-0.3503636363636364
1906/11,1906,11,-0.4278181818181819
1906/12,1906,12,-0.2832727272727273
1907/01,1907,01,-0.4310909090909092
1907/02,1907,02,-0.5149999999999999
1907/03,1907,03,-0.33945454545454545
1907/04,1907,04,-0.5044545454545454
1907/05,1907,05,-0.560818181818182
1907/06,1907,06,-0.527
1907/07,1907,07,-0.40072727272727277
1907/08,1907,08,-0.45736363636363647
1907/09,1907,09,-0.40745454545454546
1907/10,1907,10,-0.3598181818181818
1907/11,1907,11,-0.5850909090909091
1907/12,1907,12,-0.5261818181818181
1908/01,1908,01,-0.41400000000000003
1908/02,1908,02,-0.4174545454545454
1908/03,1908,03,-0.6367272727272727
1908/04,1908,04,-0.5487272727272727
1908/05,1908,05,-0.4783636363636363
1908/06,1908,06,-0.4757272727272727
1908/07,1908,07,-0.46854545454545454
1908/08,1908,08,-0.5341818181818182
1908/09,1908,09,-0.4552727272727273
1908/10,1908,10,-0.5790909090909092
